template,count,review_rate_reference_no,fill_rate_reference_no,review_rate_transaction_date,fill_rate_transaction_date,review_rate_account_no,fill_rate_account_no,review_rate_recipient_name,fill_rate_recipient_name,review_rate_total_amount,fill_rate_total_amount
bca,3579,0.5180217937971501,0.47778709136630343,0.14221849678681195,0.8616932103939648,0.02207320480581168,0.9932942162615256,0.01899972059234423,0.9986029617211511,0.06957250628667226,0.9801620564403465
unknown,1136,0.2262323943661972,0.7720070422535211,0.6426056338028169,0.363556338028169,0.7174295774647887,0.801056338028169,0.2711267605633803,0.9735915492957746,0.10035211267605634,0.960387323943662
dana,683,0.34699853587115664,0.6530014641288433,0.32650073206442165,0.6793557833089312,0.4904831625183016,0.5036603221083455,0.28550512445095166,0.9882869692532943,0.0029282576866764276,0.9985358711566618
livin_mandiri,501,0.029940119760479042,0.9700598802395209,0.3033932135728543,0.6986027944111777,0.2554890219560878,0.8063872255489022,0.007984031936127744,1.0,0.011976047904191617,0.9920159680638723
gopay,444,0.0945945945945946,0.9054054054054054,0.38738738738738737,0.6216216216216216,0.0,0.06306306306306306,0.0,0.060810810810810814,0.0045045045045045045,0.9977477477477478
bni,306,0.016339869281045753,0.9640522875816994,0.10457516339869281,0.8986928104575164,0.22549019607843138,0.9869281045751634,0.14705882352941177,1.0,0.013071895424836602,1.0
seabank,181,0.022099447513812154,0.9779005524861878,0.3425414364640884,0.6574585635359116,0.2541436464088398,0.8121546961325967,0.055248618784530384,1.0,0.0055248618784530384,0.994475138121547
byond_bsi,80,0.025,0.975,0.0875,0.9125,0.05,0.975,0.0625,1.0,0.05,0.9875
shopeepay,70,0.0,0.18571428571428572,0.2714285714285714,0.7428571428571429,0.05714285714285714,0.38571428571428573,0.014285714285714285,0.38571428571428573,0.0,1.0
blu_bca,28,0.21428571428571427,0.7857142857142857,0.32142857142857145,0.6785714285714286,0.07142857142857142,1.0,0.03571428571428571,0.9642857142857143,0.03571428571428571,1.0
