template,count,lat_mean,lat_median,lat_p95,lat_max
bca,3579,0.6867301760268231,0.5463,1.5264699999999998,3.5171
unknown,1136,0.8858394366197183,0.65215,1.857625,3.9403
dana,683,1.2385185944363104,1.1457,2.0583799999999988,2.931
livin_mandiri,501,0.8509910179640718,0.8004,1.5252,2.0952
gopay,444,0.9724461711711712,0.8508,1.6980899999999999,2.6992
bni,306,1.0168032679738561,0.93745,1.797675,3.0889
seabank,181,1.0465243093922652,0.8099,2.2682,5.4816
byond_bsi,80,1.11177,1.0975000000000001,1.45169,2.0773
shopeepay,70,0.9921685714285715,0.6708000000000001,2.393789999999999,4.6091
blu_bca,28,1.0734464285714285,0.8307,2.164105,2.3141
