image,template,latency_seconds
248.jpeg,seabank,5.4816
242.jpeg,seabank,5.4262
212.png,shopeepay,4.6091
3366.jpg,unknown,3.9403
1945.jpg,bca,3.5171
5589.jpg,bca,3.5122
1721.jpg,seabank,3.402
6137.jpg,unknown,3.093
1259.jpg,bni,3.0889
2678.jpg,bca,2.9971
1717.jpg,dana,2.931
190.png,dana,2.9228
34.jpg,bca,2.9046
2195.jpg,dana,2.888
6578.jpg,bni,2.8696
159.jpg,shopeepay,2.8642
2088.jpg,dana,2.8488
3252.jpg,bca,2.8476
1313.jpg,bca,2.821
2177.jpg,dana,2.802
296.jpeg,shopeepay,2.7966
2179.jpg,dana,2.7617
5875.jpg,bca,2.7533
1805.jpg,bca,2.7478
1287.jpg,dana,2.7305
1171.jpg,bca,2.7268
2141.jpg,dana,2.7157
6669.jpg,gopay,2.6992
3738.jpg,bca,2.6728
1075.jpg,dana,2.6645
1134.jpg,unknown,2.6613
228.jpeg,unknown,2.6606
1594.jpg,dana,2.6431
4493.jpg,gopay,2.6328
4124.jpg,bca,2.6241
6691.jpg,gopay,2.6051
6250.jpg,gopay,2.5902
1664.jpg,dana,2.5804
3493.jpg,bca,2.5634
1402.jpg,bca,2.5601
5015.jpg,gopay,2.554
5874.jpg,bca,2.5499
223.jpeg,shopeepay,2.5233
335.jpeg,unknown,2.4832
5574.jpg,bca,2.4534
3288.jpg,bca,2.4498
6268.jpg,dana,2.4449
2363.jpg,seabank,2.4085
4600.jpg,dana,2.4
186.png,dana,2.3958
