image,template,template_score,latency_seconds,field_total,field_correct,row_accuracy,error
1.jpg,bca,0.85,0.5257,4,4,1.0,
3.jpg,bni,0.7,1.4204,4,4,1.0,
4.jpg,livin_mandiri,0.6499999999999999,1.2573,5,5,1.0,
5.jpg,,0.0,2.2406,4,4,1.0,
6.jpg,dana,1.0,1.1314,4,4,1.0,
7.jpg,bca,0.85,0.6776,4,4,1.0,
8.jpg,bca,0.85,0.732,4,4,1.0,
9.jpg,bca,0.85,0.6622,4,4,1.0,
10.jpg,bca,0.85,0.5087,4,4,1.0,
11.jpg,bca,0.35,1.4497,3,3,1.0,
12.jpg,bca,0.5,1.4557,5,5,1.0,
13.jpg,bca,0.425,2.3496,3,3,1.0,
14.jpg,bca,0.85,0.443,4,4,1.0,
15.jpg,dana,1.0,0.9804,5,5,1.0,
16.jpg,seabank,0.85,2.2592,4,4,1.0,
17.jpg,bca,0.85,0.6751,4,4,1.0,
18.jpg,bca,0.5,1.6818,5,5,1.0,
19.jpg,bca,0.85,0.5267,4,4,1.0,
20.jpg,seabank,0.85,1.9298,4,4,1.0,
21.jpg,bca,0.5,1.2618,5,5,1.0,
22.jpg,bca,0.5,1.0392,5,5,1.0,
23.jpg,bca,0.85,0.5802,4,4,1.0,
24.jpg,shopeepay,0.85,1.7633,5,5,1.0,
25.jpg,bca,0.5,1.2254,5,5,1.0,
26.jpg,blu_bca,0.7749999999999999,0.9561,5,5,1.0,
27.jpg,bca,0.85,0.4468,4,4,1.0,
28.jpg,bni,0.7999999999999999,2.7277,5,5,1.0,
29.jpg,seabank,0.85,0.7716,4,4,1.0,
31.jpg,livin_mandiri,1.0,1.2199,5,5,1.0,
32.jpg,bca,0.35,1.1959,5,5,1.0,
33.jpg,seabank,0.85,2.8139,4,4,1.0,
34.jpg,bca,0.575,3.3547,5,5,1.0,
35.jpg,bca,0.85,0.4065,4,3,0.75,
36.jpg,dana,0.8999999999999999,1.2066,5,5,1.0,
37.jpg,,0.0,1.2434,3,3,1.0,
38.jpg,livin_mandiri,0.6499999999999999,1.3069,5,5,1.0,
39.jpg,livin_mandiri,0.35,0.8483,4,4,1.0,
40.jpg,bca,0.35,1.1364,5,5,1.0,
41.jpg,bca,0.85,0.6931,4,4,1.0,
42.jpg,bca,0.5,1.2245,3,3,1.0,
43.jpg,bca,0.5,0.7955,5,5,1.0,
44.jpg,livin_mandiri,1.0,1.0663,5,5,1.0,
45.jpg,bca,0.5,0.7653,4,4,1.0,
46.jpg,bca,0.85,0.4064,4,4,1.0,
47.jpg,bca,0.5,0.9626,5,5,1.0,
48.jpg,dana,1.0,0.7711,5,5,1.0,
49.jpg,dana,0.7999999999999999,1.4196,4,4,1.0,
50.jpg,livin_mandiri,1.0,1.1467,5,5,1.0,
51.jpg,bca,0.5,0.5503,4,4,1.0,
52.jpg,bca,0.85,0.319,4,4,1.0,
53.jpg,bca,0.5,0.6289,4,4,1.0,
54.jpg,byond_bsi,0.7999999999999999,1.367,5,5,1.0,
55.jpg,livin_mandiri,0.8999999999999999,1.0699,5,5,1.0,
56.jpg,bca,0.425,0.5989,5,5,1.0,
57.jpg,bca,0.5,0.8611,5,4,0.8,
58.jpg,byond_bsi,0.7999999999999999,1.7562,5,5,1.0,
59.jpg,bni,0.7999999999999999,1.2612,5,5,1.0,
60.jpg,livin_mandiri,0.5499999999999999,1.0992,5,5,1.0,
61.jpg,bca,0.35,0.9597,3,3,1.0,
62.jpg,bca,0.85,0.6963,4,4,1.0,
63.jpg,byond_bsi,0.8999999999999999,1.3456,5,5,1.0,
64.jpg,bca,0.5,0.8904,5,5,1.0,
65.jpg,bni,0.7,1.1287,5,5,1.0,
66.jpg,bca,0.85,0.3633,4,4,1.0,
67.jpg,gopay,0.76,0.9107,5,5,1.0,
68.jpg,dana,0.7999999999999999,0.8434,4,4,1.0,
69.jpg,bca,0.5,0.8176,5,5,1.0,
70.jpg,byond_bsi,0.8999999999999999,1.313,5,5,1.0,
71.jpg,bca,0.85,0.429,4,4,1.0,
75.jpg,seabank,0.85,1.7553,4,4,1.0,
76.jpg,bca,0.5,1.2606,5,5,1.0,
77.jpg,bca,0.425,1.0346,5,4,0.8,
78.jpg,bca,0.35,1.2718,5,5,1.0,
80.jpg,bca,0.5,1.3052,5,5,1.0,
81.jpg,bca,0.35,0.7287,5,5,1.0,
84.jpg,bni,0.7999999999999999,1.0084,5,5,1.0,
85.jpg,bca,0.5,1.3269,5,5,1.0,
86.jpg,bni,0.7999999999999999,2.0228,5,5,1.0,
88.jpg,bca,0.425,0.9545,5,5,1.0,
89.jpg,bni,0.7,1.055,5,5,1.0,
95.jpg,,0.0,1.1495,5,5,1.0,
97.jpg,blu_bca,0.7749999999999999,0.8307,5,5,1.0,
100.jpg,bca,0.575,0.9369,5,5,1.0,
105.jpg,seabank,1.0,0.9099,5,5,1.0,
121.jpg,,0.0,1.7103,5,4,0.8,
131.jpg,bca,0.5,1.0392,5,5,1.0,
132.jpg,bca,0.5,2.1769,4,4,1.0,
136.jpg,shopeepay,0.7749999999999999,1.275,5,5,1.0,
152.jpg,,0.0,2.3133,3,3,1.0,
162.png,dana,0.7999999999999999,1.6192,5,5,1.0,
163.png,dana,0.7999999999999999,1.6644,5,5,1.0,
164.png,dana,0.7999999999999999,1.506,5,5,1.0,
165.png,dana,0.7999999999999999,1.689,5,5,1.0,
311.jpeg,dana,0.7999999999999999,1.0906,5,5,1.0,
342.jpeg,bca,0.425,1.8843,5,5,1.0,
343.jpeg,,0.0,1.1813,4,4,1.0,
344.jpeg,bca,0.35,0.9599,5,5,1.0,
346.jpg,livin_mandiri,1.0,1.0189,5,4,0.8,
348.jpg,bca,0.5,1.8434,4,4,1.0,
350.jpg,seabank,0.7,1.1203,4,4,1.0,
